species,prefix,scope,status,evidence,notes
Antigone canadensis,Grcan,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0P0UW56;https://rest.uniprot.org/uniprotkb/A0A0P0UW58;https://rest.uniprot.org/uniprotkb/A0A0P0UW75,attested in the retained source label for A0A0P0UW56;A0A0P0UW58;A0A0P0UW75
Antigone vipio,Grvip,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0N7KC05;https://rest.uniprot.org/uniprotkb/A0A0P0UVX8;https://rest.uniprot.org/uniprotkb/A0A0P0UVX9,attested in the retained source label for A0A0N7KC05;A0A0P0UVX8;A0A0P0UVX9
Aotus azarai,Aoaz,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=30591; designation=Aoaz
Aotus lemurinus,Aole,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=43147; designation=Aole(Aole)
Aotus nancymaae,Aona,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=37293; designation=Aona
Aotus nigriceps,Aoni,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=57175; designation=Aoni
Aotus trivirgatus,Aotr,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=9505; designation=Aotr
Aotus trivirgatus,OmLA,exact,literature_historical,https://www.eva.mpg.de/documents/Springer/Groot_Nomenclature_Immunogenetics_2020_3174021.pdf,
Aotus vociferans,Aovo,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=57176; designation=Aovo
Apteryx owenii,Apow,exact,external_database,https://rest.uniprot.org/uniprotkb/E9NHE9;https://rest.uniprot.org/uniprotkb/E9NHF0;https://rest.uniprot.org/uniprotkb/E9NHF1,attested in the retained source label for E9NHE9;E9NHF0;E9NHF1
Aquarana catesbeiana,Lica,exact,external_database,https://rest.uniprot.org/uniprotkb/I6PNC5;https://rest.uniprot.org/uniprotkb/I6PNC6;https://rest.uniprot.org/uniprotkb/I6PRN0,attested in the retained source label for I6PNC5;I6PNC6;I6PRN0
Aquila chrysaetos,Aqch,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDM8,attested in the retained source label for A9LDM8
Archoplites interruptus,Arin,exact,external_database,https://rest.uniprot.org/uniprotkb/B5LT76;https://rest.uniprot.org/uniprotkb/B5LT77;https://rest.uniprot.org/uniprotkb/B5LT78,attested in the retained source label for B5LT76;B5LT77;B5LT78
Ardea alba,Aral,exact,external_database,https://rest.uniprot.org/uniprotkb/E2J696;https://rest.uniprot.org/uniprotkb/E2J697;https://rest.uniprot.org/uniprotkb/E2J6C0,attested in the retained source label for E2J696;E2J697;E2J6C0
