species,legacy_prefix,status,row_count,source_attested_row_count,evidence,example_accessions,example_source_labels
Delomys sublineatus,DeSu,generated_by_mhcseqs_2plus2,64,0,retired 2+2 rule; absent from available raw UniProt labels,,
Dipodomys spectabilis,Disp,generated_by_mhcseqs_2plus2,8,0,retired 2+2 rule; absent from available raw UniProt labels,,
Esox lucius,Eslu,generated_by_mhcseqs_2plus2,3,0,retired 2+2 rule; absent from available raw UniProt labels,,
Eudyptes chrysocome,Euch,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Eudyptes filholi,Eufi,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Eudyptes sclateri,Eusc,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Eudyptula minor,Eumi,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Forpus passerinus,Fopa,generated_by_mhcseqs_2plus2,33,0,retired 2+2 rule; absent from available raw UniProt labels,,
Fratercula arctica,Frar,generated_by_mhcseqs_2plus2,27,0,retired 2+2 rule; absent from available raw UniProt labels,,
Fringilla coelebs,Frco,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Gallus lafayettii,Gala,generated_by_mhcseqs_2plus2,3,0,retired 2+2 rule; absent from available raw UniProt labels,,
Gopherus evgoodei,Goev,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Heterocephalus glaber,Hegl,generated_by_mhcseqs_2plus2,6,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ictidomys tridecemlineatus,Ictr,generated_by_mhcseqs_2plus2,8,0,retired 2+2 rule; absent from available raw UniProt labels,,
Kryptolebias marmoratus,Krma,generated_by_mhcseqs_2plus2,19,0,retired 2+2 rule; absent from available raw UniProt labels,,
Labeobarbus acutirostris,Laac,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Labeobarbus intermedius,Lain,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Laticauda laticaudata,Lala,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Leiopelma hochstetteri,Leho,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Leptobrachium leishanense,Lele,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Leuciscus leuciscus,Lele,generated_by_mhcseqs_2plus2,5,0,retired 2+2 rule; absent from available raw UniProt labels,,
Litoria verreauxii,Live,generated_by_mhcseqs_2plus2,29,0,retired 2+2 rule; absent from available raw UniProt labels,,
Lonchura striata,Lost,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Lophura nycthemera,Lony,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Lyrurus tetrix,Lyte,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Marmota marmota,Mama,generated_by_mhcseqs_2plus2,10,0,retired 2+2 rule; absent from available raw UniProt labels,,
Mastomys natalensis,Mana,generated_by_mhcseqs_2plus2,27,0,retired 2+2 rule; absent from available raw UniProt labels,,
Meleagris gallopavo,Mega,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Microtus arvalis,Miar,generated_by_mhcseqs_2plus2,8,0,retired 2+2 rule; absent from available raw UniProt labels,,
Myodes glareolus,Mygl,generated_by_mhcseqs_2plus2,100,0,retired 2+2 rule; absent from available raw UniProt labels,,
Myotis lucifugus,Mylu,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Naja naja,Nana,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Notamacropus,Nota,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Notamacropus eugenii,Noeu,generated_by_mhcseqs_2plus2,42,0,retired 2+2 rule; absent from available raw UniProt labels,,
Numida meleagris,Nume,generated_by_mhcseqs_2plus2,8,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ophiophagus hannah,Opha,generated_by_mhcseqs_2plus2,7,0,retired 2+2 rule; absent from available raw UniProt labels,,
Pavo cristatus,Pacr,generated_by_mhcseqs_2plus2,12,0,retired 2+2 rule; absent from available raw UniProt labels,,
Pelodiscus sinensis,Pesi,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Phasianus colchicus,Phco,generated_by_mhcseqs_2plus2,8,0,retired 2+2 rule; absent from available raw UniProt labels,,
Phoebastria immutabilis,Phim,generated_by_mhcseqs_2plus2,24,0,retired 2+2 rule; absent from available raw UniProt labels,,
Phoebastria nigripes,Phni,generated_by_mhcseqs_2plus2,22,0,retired 2+2 rule; absent from available raw UniProt labels,,
Podarcis muralis,Pomu,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Pseudonaja textilis,Pste,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Pseudorhodeus tanago,Psta,generated_by_mhcseqs_2plus2,16,0,retired 2+2 rule; absent from available raw UniProt labels,,
Rhinolophus ferrumequinum,Rhfe,generated_by_mhcseqs_2plus2,13,0,retired 2+2 rule; absent from available raw UniProt labels,,
