taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
52670,Austrofundulus limnaeus,Austrofundulus limnaeus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/52670,2026-09-03
52775,Ciconia boyciana,Ciconia boyciana,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/52775,2026-09-03
54390,Micrurus corallinus,Micrurus corallinus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/54390,2026-09-03
55149,Sciurus vulgaris,Sciurus vulgaris,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/55149,2026-09-03
56716,Cottoperca gobio,Cottoperca gobio,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/56716,2026-09-03
57060,Eleutherodactylus coqui,Eleutherodactylus coqui,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/57060,2026-09-03
59479,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/59479,2026-09-03
59729,Taeniopygia guttata,Taeniopygia guttata,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/59729,2026-09-03
60711,Chlorocebus sabaeus,Chlorocebus sabaeus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/60711,2026-09-03
61221,Varanus komodoensis,Varanus komodoensis,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/61221,2026-09-03
61616,Pelobates cultripes,Pelobates cultripes,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/61616,2026-09-03
61621,Rhinopithecus bieti,Rhinopithecus bieti,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/61621,2026-09-03
